Feature,Score
TyreLife,7731.0490266378665
TyreStress,7113.380228917813
LapNumber,2648.31554611693
Normalized_TyreLife,1619.471468641181
Cumulative_Degradation,1538.2184059807978
Compound_MEDIUM,1309.6525761039563
Year,957.9839954282003
Stint,772.9039851632568
TyreWearRate,619.9765860827129
Race_Chinese Grand Prix,507.3031688939578
Race_Monaco Grand Prix,397.7869101803545
Race_Mexico City Grand Prix,379.2336366137045
Position_Change,336.32341767418717
Race_Pre-Season Track Session,300.90025800831563
Race_Saudi Arabian Grand Prix,246.1049816003833
Race_Pre-Season Testing,245.03061332828653
Race_Canadian Grand Prix,226.54915272694234
Race_Miami Grand Prix,225.99875963970558
Driver_DEV,184.21338249549376
Race_Belgian Grand Prix,179.32173654800744
Race_Australian Grand Prix,139.3184334916655
Race_Pre-Season Test,130.59657828716595
Race_Bahrain Grand Prix,130.3433745832998
Race_Italian Grand Prix,129.3349464933702
Driver_SAR,127.50843799698745
Compound_WET,118.88868421030857
Driver_HAD,118.45256619848132
LapPerformanceIndex,116.18927165312626
Compound_INTERMEDIATE,111.76437143904342
Position,104.93435506206808
Driver_VET,78.30199741974609
Race_United States Grand Prix,76.89066919891174
Race_Spanish Grand Prix,67.63820639328728
Driver_LAT,36.8211644176432
Driver_STR,35.77359803988266
Race_Dutch Grand Prix,33.19255475913417
Driver_NOR,29.62021306645742
Driver_ANT,29.28471836114248
Driver_ZHO,29.036589372864206
Driver_PER,26.878505059403835
Race_French Grand Prix,23.932267600950905
Race_Emilia Romagna Grand Prix,21.993036901748006
Driver_HUL,21.79987718901939
Race_Azerbaijan Grand Prix,20.566616521668454
Race_Hungarian Grand Prix,20.36375561690239
Driver_BOR,19.53185014258965
Driver_MSC,19.25142106009288
Compound_SOFT,18.93514208504817
Driver_MAG,14.959117738606128
Driver_LEC,14.777380227644523
Driver_BOT,14.360378482934188
Driver_ALO,13.613563414843993
Race_Singapore Grand Prix,12.945948911115318
Race_British Grand Prix,11.39733998061543
Driver_RUS,10.63521259838052
LapTime (s),10.330137525847881
Driver_BEA,9.953345401796168
Driver_LAW,9.561126934777482
Race_Austrian Grand Prix,9.193335475583186
Race_Japanese Grand Prix,8.177371012114904
DegradationPerLap,8.0638150638223
Race_São Paulo Grand Prix,5.482135269887533
Driver_VER,4.253272217517714
Driver_DOO,3.4103655831707673
Race_Qatar Grand Prix,3.371315446717546
Driver_RIC,2.789479627648036
PitStop,2.3906754487552537
Driver_OCO,2.3042960269374118
Driver_GAS,1.873127205741815
Driver_SAI,1.5822988361204116
LapTime_Delta,1.2946167100621164
Driver_HAM,1.1455078734653676
Driver_COL,1.0494258349088876
Driver_PIA,0.9369599906872433
Race_Las Vegas Grand Prix,0.9216909396663936
Driver_TSU,0.7981676162354084
